 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;0;251;251;0;0;0;0;4.158
"=""00:30""";0;0;211;211;0;0;0;0;4.158
"=""00:45""";0;0;226;226;0;0;0;0;4.158
"=""01:00""";0;0;255;255;0;0;0;0;4.158
"=""01:15""";0;0;214;214;0;0;0;0;4.158
"=""01:30""";0;0;152;152;0;0;0;0;4.158
"=""01:45""";0;0;139;139;0;0;0;0;4.158
"=""02:00""";0;0;148;148;0;0;0;0;4.158
"=""02:15""";0;0;120;120;0;0;0;0;4.158
"=""02:30""";0;0;127;127;0;0;0;0;4.158
"=""02:45""";0;0;116;116;0;0;0;0;4.158
"=""03:00""";0;0;91;91;0;0;0;0;4.158
"=""03:15""";0;0;108;108;0;0;0;0;4.158
"=""03:30""";0;0;117;117;0;0;0;0;4.158
"=""03:45""";0;0;88;88;0;0;0;0;4.158
"=""04:00""";0;0;95;95;0;0;0;0;4.158
"=""04:15""";0;0;102;102;0;0;0;0;4.158
"=""04:30""";0;0;101;101;0;0;0;0;4.158
"=""04:45""";0;0;108;108;0;0;0;0;4.158
"=""05:00""";0;0;116;116;0;0;0;0;4.158
"=""05:15""";0;0;91;91;0;0;0;0;4.158
"=""05:30""";0;0;71;71;0;0;0;0;4.158
"=""05:45""";0;0;94;94;0;0;0;0;4.158
"=""06:00""";0;0;96;96;0;0;0;0;4.158
"=""06:15""";51;0;21;72;3;51;0;54;4.158
"=""06:30""";180;0;112;292;0;180;0;180;4.158
"=""06:45""";192;0;51;243;28;192;47;267;4.158
"=""07:00""";243;0;3;246;41;243;233;517;4.158
"=""07:15""";197;0;0;197;569;197;1;768;4.158
"=""07:30""";214;0;0;214;813;214;0;1.027;4.158
"=""07:45""";232;0;0;232;1.057;232;0;1.289;4.158
"=""08:00""";260;0;1;261;1.265;260;72;1.597;4.158
"=""08:15""";601;0;0;601;1.277;601;0;1.878;4.158
"=""08:30""";1.463;160;44;1.667;704;1.463;0;2.167;4.158
"=""08:45""";1.221;64;64;1.349;1.216;1.221;50;2.486;4.158
"=""09:00""";926;8;15;949;1.777;926;0;2.703;4.158
"=""09:15""";403;0;0;403;2.528;403;0;2.931;4.158
"=""09:30""";150;0;1;151;2.803;150;189;3.142;4.158
"=""09:45""";167;0;0;167;3.196;167;0;3.363;4.158
"=""10:00""";229;0;0;229;3.343;229;0;3.572;4.158
"=""10:15""";413;0;0;413;3.354;413;0;3.767;4.158
"=""10:30""";203;0;0;203;3.746;203;0;3.949;4.158
"=""10:45""";231;0;0;231;3.872;231;0;4.103;4.158
"=""11:00""";332;0;0;332;3.918;332;0;4.249;4.158
"=""11:15""";296;0;0;296;3.611;296;434;4.340;4.158
"=""11:30""";341;0;0;341;3.319;341;775;4.435;4.158
"=""11:45""";314;0;0;314;1.973;314;2.221;4.508;4.158
"=""12:00""";323;0;0;323;1.987;323;2.242;4.552;4.158
"=""12:15""";548;0;1;549;2.316;548;1.702;4.567;4.158
"=""12:30""";532;0;1;533;2.099;532;1.920;4.551;4.158
"=""12:45""";496;0;0;496;3.033;496;1.019;4.549;4.158
"=""13:00""";255;0;0;255;3.214;255;1.130;4.599;4.158
"=""13:15""";760;0;0;761;3.280;760;518;4.559;4.158
"=""13:30""";238;0;0;238;3.410;238;872;4.520;4.158
"=""13:45""";1.099;0;12;1.110;2.966;1.099;363;4.427;4.158
"=""14:00""";1.699;0;0;1.699;2.667;1.699;0;4.366;4.158
"=""14:15""";1.102;0;15;1.117;2.441;1.102;729;4.272;4.158
"=""14:30""";406;0;2;408;2.777;406;996;4.179;4.158
"=""14:45""";277;0;0;277;3.274;277;508;4.059;4.158
"=""15:00""";1.241;0;11;1.252;1.634;1.241;1.045;3.920;4.158
"=""15:15""";1.887;59;31;1.977;166;1.887;1.724;3.777;4.158
"=""15:30""";1.080;0;1;1.080;2.351;1.080;157;3.587;4.158
"=""15:45""";1.133;0;0;1.133;2.189;1.133;0;3.322;4.158
"=""16:00""";1.070;0;0;1.070;2.159;1.070;0;3.228;4.158
"=""16:15""";960;17;12;989;1.977;960;5;2.942;4.158
"=""16:30""";923;0;0;923;1.843;923;2;2.768;4.158
"=""16:45""";825;10;4;839;1.684;825;14;2.523;4.158
"=""17:00""";1.144;137;19;1.301;815;1.144;342;2.302;4.158
"=""17:15""";445;32;2;479;1.382;445;209;2.037;4.158
"=""17:30""";239;0;0;239;1.449;239;0;1.688;4.158
"=""17:45""";216;0;0;216;1.290;216;0;1.506;4.158
"=""18:00""";324;0;0;324;843;324;0;1.167;4.158
"=""18:15""";309;0;0;309;579;309;0;888;4.158
"=""18:30""";489;1.336;188;2.013;86;489;0;574;4.158
"=""18:45""";284;2.221;182;2.688;132;284;2;418;4.158
"=""19:00""";216;2.275;214;2.705;57;216;1;274;4.158
"=""19:15""";136;1.879;239;2.253;77;136;0;213;4.158
"=""19:30""";106;679;71;856;75;106;0;181;4.158
"=""19:45""";143;1.744;5;1.892;7;143;0;150;4.158
"=""20:00""";118;166;3;287;3;118;0;121;4.158
"=""20:15""";22;1.248;73;1.343;77;22;0;99;4.158
"=""20:30""";17;477;77;570;74;17;0;91;4.158
"=""20:45""";66;194;3;263;3;66;0;69;4.158
"=""21:00""";32;315;5;351;6;32;0;38;4.158
"=""21:15""";0;279;4;279;4;0;0;0;4.158
"=""21:30""";0;378;6;378;6;0;0;0;4.158
"=""21:45""";0;393;6;393;6;0;0;0;4.158
"=""22:00""";0;389;6;389;5;0;0;0;4.158
"=""22:15""";0;386;5;386;5;0;0;0;4.158
"=""22:30""";0;369;4;368;5;0;0;0;4.158
"=""22:45""";0;403;5;403;4;0;0;0;4.158
"=""23:00""";0;407;5;407;4;0;0;0;4.158
"=""23:15""";0;386;5;386;5;0;0;0;4.158
"=""23:30""";0;311;4;310;5;0;0;0;4.158
"=""23:45""";0;252;4;252;4;0;0;0;4.158
"=""00:00""";0;269;4;269;4;0;0;0;4.158
